wallet,protocol,score,band,health_factor,collateral_usd,borrow_usd,profile_status,alert_sent
0xed9f033e250c69203e37616ab254c8fadde4bba4,moonwell,75,CRITICAL,0.0000,0.0,167.79,outside,DRY-RUN
0x88e57c01beba95b51006df6de835fdec38d370af,moonwell,75,CRITICAL,0.0000,0.03,1963.63,outside,DRY-RUN
0xe708c0a4595de83135a8732ab87f2706d1ace7f7,moonwell,75,CRITICAL,1.0270,57561.28,49321.91,outside,DRY-RUN
0xc8d9b774f920382e9b69900c9506e7126d3ee899,morpho,75,CRITICAL,1.0366,992.42,895.62,outside,DRY-RUN
0xa0f260de988de8ca8f6c0641ea133595c26f43d3,aave_v3,75,CRITICAL,1.0450,353.73,273.66,outside,DRY-RUN
0x6071b610694db4c502da5370ee39623008db0e03,morpho,75,CRITICAL,1.0539,1940.46,1587.41,outside,DRY-RUN
0x4c1a699166cd60473040d0618c47ad82251b9d0f,aave_v3,75,CRITICAL,1.0644,1968676.38,1757030.88,outside,DRY-RUN
0xb9b93721b623ab6b25c90b82589feb15e4a3006a,aave_v3,75,CRITICAL,1.0645,4982.32,3757.58,outside,DRY-RUN
0x3fb3085211a7687001c04ee3ecd3b1b3cd5ffbc9,aave_v3,75,CRITICAL,1.0859,3786.08,2826.25,outside,DRY-RUN
0x9d3a44fa2cd32f47165dcd4221c9b207d6022cd6,aave_v3,75,CRITICAL,1.0895,720.74,509.38,outside,DRY-RUN
0x4f233cda23c7c7b7390010caebbb386537bce7a7,aave_v3,75,CRITICAL,1.0989,22396.08,15974.97,outside,DRY-RUN
0x4ab14276af9df6e1ca74b172008c789241197952,moonwell,58,HIGH,1.2348,48934.34,33246.77,outside,DRY-RUN
0xb669314e175d4a5440996af5002e551c5eaf9b4f,aave_v3,57,HIGH,1.1044,652.51,473.94,outside,DRY-RUN
0xe894575004113373d68535ee8e0b7e880278dcf9,aave_v3,56,HIGH,1.1325,274934.23,201496.82,outside,DRY-RUN
0x53143d37caa2cf41177b8d66e0125731a1247af7,morpho,56,HIGH,1.1487,128.37,105.5,outside,DRY-RUN
0xe3474aaf711060dbdab2046ffcf74baed46feacd,morpho,55,HIGH,1.1776,76.16,55.73,outside,DRY-RUN
0x8bc8860fc86e143c93c1404f56765d375569b918,compound_v3,55,HIGH,1.2019,22459.09,16333.78,outside,DRY-RUN
0x121e1573b7c6c15aa4c036d54bfd2974cf38a163,aave_v3,54,HIGH,1.1680,1591.96,1131.21,outside,DRY-RUN
0x06ca59881880eab9156b32fd33494cea58bb0d23,aave_v3,54,HIGH,1.1808,9986.92,6597.09,outside,DRY-RUN
0x6f3ba92859bbf2a68bc083c7de0bffc0db6ddecc,aave_v3,53,HIGH,1.2052,1561.03,1075.08,outside,DRY-RUN
0xdede7b1d26b7c889be7d53c02e6408f153b551c1,compound_v3,53,HIGH,1.2574,16028.8,11472.69,outside,DRY-RUN
0xcb2401d4da645271d63c623fe1500d01dcee5fa8,aave_v3,52,HIGH,1.2223,2686.91,1824.47,outside,DRY-RUN
0xecd280833cb059de4198e8ff7be1a57ab6b448ec,aave_v3,52,HIGH,1.2322,7123.99,4567.44,outside,DRY-RUN
0xc557b704b4dc933867dd08a16a662608d18e07fc,aave_v3,52,HIGH,1.2358,99.06,66.53,outside,DRY-RUN
0xe2b9071b0df6277d8fdecd5dc3fd0be1d81ea2f4,aave_v3,52,HIGH,1.2448,6585.21,4179.3,outside,DRY-RUN
0x8f50b88d4d6f082ac02933888cf588a5b89ae2ab,aave_v3,51,HIGH,1.1818,2114.4,1484.97,outside,DRY-RUN
0x4542f148e17080025b030c7b9d1d6e749c51f88f,aave_v3,51,HIGH,1.2623,65975.36,42107.7,outside,DRY-RUN
0x0e54e838c0726bd799e64b02050739aef7945f18,morpho,51,HIGH,1.2986,4220.04,2797.04,outside,DRY-RUN
0xbe14fcdee53bd1fae02fbb69bc8c07540dfbc4b5,aave_v3,50,HIGH,1.2824,2924.68,1834.05,outside,DRY-RUN
0xc80a5430d22e8f96b9fbf0d4d0925bc9e60daa1c,aave_v3,49,ELEVATED,1.3266,15089.27,9164.24,outside,DRY-RUN
0x829c43b4713a1afc996451eaabe37a941d880337,aave_v3,48,ELEVATED,1.3356,1718.99,1068.18,outside,DRY-RUN
0x29ba9a0aa9e222198cea2a2c432cebcf8b1a248d,morpho,46,ELEVATED,1.3523,7554.33,4806.69,outside,DRY-RUN
0x33d3c029fd119ebb90df20c3427a97074637bf7c,aave_v3,45,ELEVATED,1.3359,139890.57,86917.7,outside,DRY-RUN
0xabd5c7513b135cfc760447519b8511864691b67e,aave_v3,45,ELEVATED,1.4214,75379.55,44015.08,outside,DRY-RUN
0x914456a08cbb1f1cc3509c75aedef9d33a068360,aave_v3,45,ELEVATED,1.4312,3449.5,2000.42,outside,DRY-RUN
